PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Open Graph URL,Canonical URL,Canonical URL code,Canonical URL patch,Canonical URL patch status,Is valid Open Graph,Open Graph attributes,Open Graph values,Depth,Is indexable page,No. of all inlinks
22,https://createmy-qr.com/compare,"Free QR Code Generator Online - CreateMy-QR (No Signup) | Compare Tools
types.compare QR Code Generator - Free & Custom | CreateMy-QR
Compare Plans - CreateMy-QR",text/html; charset=utf-8,false,200,0,https://createmy-qr.com/,https://createmy-qr.com/compare,200,,,true,"og:site_name
og:url
og:type
og:locale
og:description
og:title
og:locale
og:site_name
og:image:alt
og:image:height
og:image:width
og:image
og:description
og:title
og:url
og:type","CreateMy-QR
https://createmy-qr.com/compare
website
en
Convert your types.compare data into a custom QR code directly in your browser. 100% processed offline for absolute privacy. Free, no limits, and highly secure.
types.compare QR Code Generator - Free & Custom | CreateMy-QR
en_US
CreateMy-QR
CreateMy-QR — Free QR Code Generator
630
1200
https://createmy-qr.com/og-image.png
Compare our free features.
Compare Plans - CreateMy-QR
https://createmy-qr.com/
website",0,true,171
22,https://createmy-qr.com/about,"Free QR Code Generator Online - CreateMy-QR (No Signup) | About Us
types.about QR Code Generator - Free & Custom | CreateMy-QR
About CreateMy-QR",text/html; charset=utf-8,false,200,0,https://createmy-qr.com/,https://createmy-qr.com/about,200,,,true,"og:site_name
og:url
og:type
og:locale
og:description
og:title
og:locale
og:site_name
og:image:alt
og:image:height
og:image:width
og:image
og:description
og:title
og:url
og:type","CreateMy-QR
https://createmy-qr.com/about
website
en
Convert your types.about data into a custom QR code directly in your browser. 100% processed offline for absolute privacy. Free, no limits, and highly secure.
types.about QR Code Generator - Free & Custom | CreateMy-QR
en_US
CreateMy-QR
CreateMy-QR — Free QR Code Generator
630
1200
https://createmy-qr.com/og-image.png
Learn more about CreateMy-QR.
About CreateMy-QR
https://createmy-qr.com/
website",0,true,171
22,https://createmy-qr.com/pricing,"Free QR Code Generator Online - CreateMy-QR (No Signup) | 100% Free Pricing
types.pricing QR Code Generator - Free & Custom | CreateMy-QR
100% Free Pricing | CreateMy-QR",text/html; charset=utf-8,false,200,0,https://createmy-qr.com/,https://createmy-qr.com/pricing,200,,,true,"og:site_name
og:url
og:type
og:locale
og:description
og:title
og:locale
og:site_name
og:image:alt
og:image:height
og:image:width
og:image
og:description
og:title
og:url
og:type","CreateMy-QR
https://createmy-qr.com/pricing
website
en
Convert your types.pricing data into a custom QR code directly in your browser. 100% processed offline for absolute privacy. Free, no limits, and highly secure.
types.pricing QR Code Generator - Free & Custom | CreateMy-QR
en_US
CreateMy-QR
CreateMy-QR — Free QR Code Generator
630
1200
https://createmy-qr.com/og-image.png
Learn more about CreateMy-QR 100% free pricing.
100% Free Pricing | CreateMy-QR
https://createmy-qr.com/
website",0,true,171
22,https://createmy-qr.com/languages,"Free QR Code Generator Online - CreateMy-QR (No Signup) | Supported Languages
types.languages QR Code Generator - Free & Custom | CreateMy-QR
Supported Languages | CreateMy-QR",text/html; charset=utf-8,false,200,0,https://createmy-qr.com/,https://createmy-qr.com/languages,200,,,true,"og:site_name
og:url
og:type
og:locale
og:description
og:title
og:locale
og:site_name
og:image:alt
og:image:height
og:image:width
og:image
og:description
og:title
og:url
og:type","CreateMy-QR
https://createmy-qr.com/languages
website
en
Convert your types.languages data into a custom QR code directly in your browser. 100% processed offline for absolute privacy. Free, no limits, and highly secure.
types.languages QR Code Generator - Free & Custom | CreateMy-QR
en_US
CreateMy-QR
CreateMy-QR — Free QR Code Generator
630
1200
https://createmy-qr.com/og-image.png
Learn more about CreateMy-QR supported languages.
Supported Languages | CreateMy-QR
https://createmy-qr.com/
website",0,true,171
22,https://createmy-qr.com/scan-qr,"Free QR Code Scanner Online - Scan QR Instantly
types.scanqr QR Code Generator - Free & Custom | CreateMy-QR
Scan QR Code Online",text/html; charset=utf-8,false,200,0,https://createmy-qr.com/,https://createmy-qr.com/scan-qr,200,,,true,"og:site_name
og:url
og:type
og:locale
og:description
og:title
og:locale
og:site_name
og:image:alt
og:image:height
og:image:width
og:image
og:description
og:title
og:url
og:type","CreateMy-QR
https://createmy-qr.com/scan-qr
website
en
Convert your types.scanqr data into a custom QR code directly in your browser. 100% processed offline for absolute privacy. Free, no limits, and highly secure.
types.scanqr QR Code Generator - Free & Custom | CreateMy-QR
en_US
CreateMy-QR
CreateMy-QR — Free QR Code Generator
630
1200
https://createmy-qr.com/og-image.png
Scan QR codes directly from your browser.
Scan QR Code Online
https://createmy-qr.com/
website",0,true,171
22,https://createmy-qr.com/barcode-generator,"Free Barcode Generator Online - Create 1D Barcodes
types.barcode QR Code Generator - Free & Custom | CreateMy-QR
Free Barcode Generator",text/html; charset=utf-8,false,200,0,https://createmy-qr.com/,https://createmy-qr.com/barcode-generator,200,,,true,"og:site_name
og:url
og:type
og:locale
og:description
og:title
og:locale
og:site_name
og:image:alt
og:image:height
og:image:width
og:image
og:description
og:title
og:url
og:type","CreateMy-QR
https://createmy-qr.com/barcode-generator
website
en
Convert your types.barcode data into a custom QR code directly in your browser. 100% processed offline for absolute privacy. Free, no limits, and highly secure.
types.barcode QR Code Generator - Free & Custom | CreateMy-QR
en_US
CreateMy-QR
CreateMy-QR — Free QR Code Generator
630
1200
https://createmy-qr.com/og-image.png
Generate barcodes instantly.
Free Barcode Generator
https://createmy-qr.com/
website",0,true,171
22,https://createmy-qr.com/privacy,"Free QR Code Generator Online - CreateMy-QR (No Signup) | Privacy Policy
types.privacy QR Code Generator - Free & Custom | CreateMy-QR
Privacy Policy - CreateMy-QR",text/html; charset=utf-8,false,200,0,https://createmy-qr.com/,https://createmy-qr.com/privacy,200,,,true,"og:site_name
og:url
og:type
og:locale
og:description
og:title
og:locale
og:site_name
og:image:alt
og:image:height
og:image:width
og:image
og:description
og:title
og:url
og:type","CreateMy-QR
https://createmy-qr.com/privacy
website
en
Convert your types.privacy data into a custom QR code directly in your browser. 100% processed offline for absolute privacy. Free, no limits, and highly secure.
types.privacy QR Code Generator - Free & Custom | CreateMy-QR
en_US
CreateMy-QR
CreateMy-QR — Free QR Code Generator
630
1200
https://createmy-qr.com/og-image.png
Read our privacy policy.
Privacy Policy - CreateMy-QR
https://createmy-qr.com/
website",0,true,171
22,https://createmy-qr.com/terms,"Free QR Code Generator Online - CreateMy-QR (No Signup) | Terms of Service
types.terms QR Code Generator - Free & Custom | CreateMy-QR
Terms of Service - CreateMy-QR",text/html; charset=utf-8,false,200,0,https://createmy-qr.com/,https://createmy-qr.com/terms,200,,,true,"og:site_name
og:url
og:type
og:locale
og:description
og:title
og:locale
og:site_name
og:image:alt
og:image:height
og:image:width
og:image
og:description
og:title
og:url
og:type","CreateMy-QR
https://createmy-qr.com/terms
website
en
Convert your types.terms data into a custom QR code directly in your browser. 100% processed offline for absolute privacy. Free, no limits, and highly secure.
types.terms QR Code Generator - Free & Custom | CreateMy-QR
en_US
CreateMy-QR
CreateMy-QR — Free QR Code Generator
630
1200
https://createmy-qr.com/og-image.png
Read our terms of service.
Terms of Service - CreateMy-QR
https://createmy-qr.com/
website",0,true,171
22,https://createmy-qr.com/scan-barcode,"Free Barcode Scanner Online - Scan UPC & EAN
Barcode Scanner QR Code Generator - Free & Custom | CreateMy-QR
Scan Barcode Online",text/html; charset=utf-8,false,200,0,https://createmy-qr.com/,https://createmy-qr.com/scan-barcode,200,,,true,"og:site_name
og:url
og:type
og:locale
og:description
og:title
og:locale
og:site_name
og:image:alt
og:image:height
og:image:width
og:image
og:description
og:title
og:url
og:type","CreateMy-QR
https://createmy-qr.com/scan-barcode
website
en
Convert your Barcode Scanner data into a custom QR code directly in your browser. 100% processed offline for absolute privacy. Free, no limits, and highly secure.
Barcode Scanner QR Code Generator - Free & Custom | CreateMy-QR
en_US
CreateMy-QR
CreateMy-QR — Free QR Code Generator
630
1200
https://createmy-qr.com/og-image.png
Scan Barcodes directly from your browser.
Scan Barcode Online
https://createmy-qr.com/
website",0,true,171
22,https://createmy-qr.com/security,"Free QR Code Generator Online - CreateMy-QR (No Signup) | Security Architecture
types.security QR Code Generator - Free & Custom | CreateMy-QR
Security Architecture | CreateMy-QR",text/html; charset=utf-8,false,200,0,https://createmy-qr.com/,https://createmy-qr.com/security,200,,,true,"og:site_name
og:url
og:type
og:locale
og:description
og:title
og:locale
og:site_name
og:image:alt
og:image:height
og:image:width
og:image
og:description
og:title
og:url
og:type","CreateMy-QR
https://createmy-qr.com/security
website
en
Convert your types.security data into a custom QR code directly in your browser. 100% processed offline for absolute privacy. Free, no limits, and highly secure.
types.security QR Code Generator - Free & Custom | CreateMy-QR
en_US
CreateMy-QR
CreateMy-QR — Free QR Code Generator
630
1200
https://createmy-qr.com/og-image.png
Learn more about CreateMy-QR security architecture.
Security Architecture | CreateMy-QR
https://createmy-qr.com/
website",0,true,171
